Stage ID,Project name,Deal ID,Stage,Modified_By,Modified_Time,Deal Amount,Probability,Deal_Closing_Date,Currency,Stage_Duration_Time,Last_Activity_Time,Moved_To__s,Expected_closure_date,Stage Duration Days,Stage_Duration_Calendar_Days,Stage Group
655193000001698487,1254,655193000001697738,Lead - Attempt to Contact,655193000001491001,2024-07-11,0.0,10,,USD,,2024-07-11,,,446,,Lead
655193000001698485,1565,655193000001697737,Lead - Attempt to Contact,655193000001491001,2024-07-11,0.0,10,,USD,,2024-07-11,,,446,,Lead
655193000001698483,1640,655193000001697736,Lead - Attempt to Contact,655193000001491001,2024-07-11,0.0,10,,USD,,2024-07-11,,,446,,Lead
655193000001698481,151,655193000001697735,Lead - Attempt to Contact,655193000001491001,2024-07-11,0.0,10,,USD,,2024-07-11,,,446,,Lead
655193000001698479,152,655193000001697734,Lead - Attempt to Contact,655193000001491001,2024-07-11,0.0,10,,USD,,2024-07-11,,,446,,Lead
655193000001698477,795,655193000001697733,Lead - Attempt to Contact,655193000001491001,2024-07-11,0.0,10,,USD,,2024-07-11,,,446,,Lead
655193000001698475,860,655193000001697732,Lead - Attempt to Contact,655193000001491001,2024-07-11,0.0,10,,USD,,2024-07-11,,,446,,Lead
655193000001698473,153,655193000001697731,Lead - Attempt to Contact,655193000001491001,2024-07-11,0.0,10,,USD,,2024-07-11,,,446,,Lead
655193000001698471,861,655193000001697730,Lead - Attempt to Contact,655193000001491001,2024-07-11,0.0,10,,USD,,2024-07-11,,,446,,Lead
655193000001698469,1210,655193000001697729,Lead - Attempt to Contact,655193000001491001,2024-07-11,0.0,10,,USD,,2024-07-11,,,446,,Lead
655193000001698467,796,655193000001697728,Lead - Attempt to Contact,655193000001491001,2024-07-11,0.0,10,,USD,,2024-07-11,,,446,,Lead
655193000001698465,1283,655193000001697727,Lead - Attempt to Contact,655193000001491001,2024-07-11,0.0,10,,USD,,2024-07-11,,,446,,Lead
655193000001698463,797,655193000001697726,Lead - Attempt to Contact,655193000001491001,2024-07-11,0.0,10,,USD,,2024-07-11,,,446,,Lead
655193000001698461,798,655193000001697725,Lead - Attempt to Contact,655193000001491001,2024-07-11,0.0,10,,USD,,2024-07-11,,,446,,Lead
655193000001698459,1284,655193000001697724,Lead - Attempt to Contact,655193000001491001,2024-07-11,0.0,10,,USD,,2024-07-11,,,446,,Lead
655193000001698457,862,655193000001697723,Lead - Attempt to Contact,655193000001491001,2024-07-11,0.0,10,,USD,,2024-07-11,,,446,,Lead
655193000001698455,1211,655193000001697722,Lead - Attempt to Contact,655193000001491001,2024-07-11,0.0,10,,USD,,2024-07-11,,,446,,Lead
